Year,District,barley_yield,maize_yield,buckwheat_yield,millet_yield,wheat_yield,paddy_yield,potato_yield,coffee_yield,tea_yield,lentil_yield,chickpeas_yield,pigeon-peas_yield,jute_yield,cotton_yield
2078,TAPLEJUNG,1.51000,3.16000,1.27000,1.40000,1.88000,2.55000,17.33000,0.16220,0.00317,0.00000,0.00000,0.00000,0.00000,0.00000
2078,SANKHUWASABHA,1.34000,2.44000,0.95000,1.27000,2.26000,2.74000,14.51000,0.00000,0.00000,1.20000,0.00000,0.00000,0.00000,0.00000
2078,SOLUKHUMBU,1.19000,2.59000,0.99000,1.35000,1.99000,2.77000,16.99000,0.36000,0.01120,0.00000,0.00000,0.00000,0.00000,0.00000
2078,PANCHTHAR,1.44000,2.23000,0.74000,1.86000,1.66000,2.79000,15.57000,0.08750,0.08665,1.10000,0.63000,1.00000,0.00000,0.00000
2078,ILLAM,1.20000,3.85000,1.10000,1.36000,3.15000,3.27000,19.50000,0.00000,0.00000,1.21000,0.56000,1.20000,0.00000,0.00000
2078,TERHATHUM,1.33000,2.77000,0.88000,1.26000,2.42000,2.76000,17.06000,0.00000,0.00000,1.00000,0.00000,1.05000,0.00000,0.00000
2078,DHANKUTA,0.82000,3.36000,0.86000,1.26000,2.10000,3.58000,19.40000,0.04290,0.11619,0.94000,1.15000,1.05000,0.00000,0.00000
2078,BHOJPUR,1.50000,2.72000,0.84000,1.29000,1.15000,2.27000,16.51000,0.05880,0.00250,1.01000,0.00000,0.00000,0.00000,0.00000
2078,KHOTANG,1.53000,2.30000,1.27000,1.13000,2.19000,2.64000,15.10000,0.06060,0.00000,1.30000,0.00000,0.00000,0.00000,0.00000
2078,OKHALDHUNGA,1.43000,3.15000,0.92000,1.90000,2.48000,2.65000,14.76000,0.07500,0.00000,0.75000,0.00000,0.00000,0.00000,0.00000
2078,UDAYAPUR,1.48000,2.44000,0.99000,1.90000,2.50000,3.90000,15.41000,0.00000,0.00000,1.01000,1.39000,1.03000,0.00000,0.00000
2078,JHAPA,2.00000,4.04000,1.37000,1.30000,3.37000,4.33000,16.83000,0.00000,2.33399,1.20000,1.80000,1.50000,1.00000,0.00000
2078,MORANG,1.04000,3.86000,1.05000,1.25000,3.04000,4.25000,17.47000,0.20000,0.26496,1.22000,1.19000,0.96000,1.48000,0.00000
2078,SUNSARI,1.57000,3.21000,0.99000,1.16000,3.25000,4.09000,16.48000,0.00000,0.00000,1.21000,1.37000,0.86000,1.48000,0.00000
2078,SAPTARI,1.58000,3.29000,0.00000,1.26000,3.48000,3.54000,15.60000,0.00000,0.00000,1.20000,1.15000,0.89000,0.84000,0.00000
2078,SIRAHA,1.32000,3.35000,0.00000,1.04000,3.42000,3.56000,15.30000,0.00000,0.00000,1.18000,1.16000,0.94000,0.83000,0.00000
2078,DHANUSHA,1.29000,3.26000,0.00000,1.02000,3.26000,4.00000,15.80000,0.00000,0.00000,1.29000,1.19000,1.09000,0.00000,0.00000
2078,MAHOTTARI,1.18000,3.05000,0.00000,0.00000,3.26000,3.81000,14.60000,0.00000,0.00000,1.19000,1.09000,1.09000,0.00000,0.00000
2078,SARLAHI,1.14000,3.32000,0.00000,0.90000,3.18000,3.65000,15.20000,0.00000,0.00000,1.41000,1.31000,1.13000,0.00000,0.00000
2078,RAUTAHAT,1.57000,3.65000,0.00000,1.04000,3.52000,3.51000,17.23000,0.00000,0.00000,1.23000,1.15000,1.09000,0.00000,0.00000
2078,BARA,2.23000,3.91000,0.00000,1.16000,3.59000,3.76000,15.80000,0.00000,0.00000,1.28000,1.54000,1.09000,0.00000,0.00000
2078,PARSA,1.46000,4.05000,0.00000,0.00000,3.72000,4.09000,16.02000,0.00000,0.00000,1.21000,1.39000,1.09000,0.00000,0.00000
2078,DOLAKHA,0.94000,3.01000,1.21000,1.42000,1.77000,2.65000,18.22000,0.10000,0.00000,0.60000,0.71000,1.00000,0.00000,0.00000
2078,SINDHUPALCHOK,0.85000,2.88000,1.19000,1.31000,1.26000,3.03000,16.74000,0.00000,0.11765,1.02000,1.06000,0.00000,0.00000,0.00000
2078,RASUWA,0.84000,2.73000,1.38000,0.99000,1.62000,2.23000,16.24000,0.11960,0.00000,1.03000,0.00000,1.00000,0.00000,0.00000
2078,RAMECHAP,0.90000,2.95000,1.35000,1.12000,2.33000,3.09000,15.14000,0.00000,0.00000,0.91000,0.53000,1.00000,0.00000,0.00000
2078,SINDHULI,0.80000,3.39000,1.59000,1.03000,2.66000,3.69000,18.35000,0.15000,0.00000,1.01000,2.00000,1.10000,0.00000,0.00000
2078,KAVRE,0.93000,3.33000,1.63000,1.02000,2.99000,3.92000,19.18000,0.11720,0.00000,1.17000,0.95000,0.00000,0.00000,0.00000
2078,BHAKTAPUR,1.00000,4.42000,2.06000,1.36000,4.18000,5.05000,21.83000,0.00000,0.00000,1.05000,0.92000,0.00000,0.00000,0.00000
2078,LALITPUR,0.96000,4.11000,1.45000,1.14000,3.40000,4.30000,19.49000,0.15140,0.07630,1.06000,0.87000,0.00000,0.00000,0.00000
2078,KATHMANDU,0.92000,4.14000,1.51000,1.22000,3.57000,4.47000,21.61000,0.00000,0.00000,0.90000,0.94000,0.00000,0.00000,0.00000
2078,NUWAKOT,0.98000,3.78000,1.30000,1.33000,3.79000,4.06000,18.33000,0.11830,0.34940,1.12000,0.93000,1.00000,0.00000,0.00000
2078,DHADING,1.00000,3.11000,1.39000,1.04000,2.96000,4.20000,14.80000,0.07450,0.00000,1.20000,0.56000,0.00000,0.00000,0.00000
2078,MAKAWANPUR,1.09000,3.23000,1.40000,1.20000,3.30000,3.70000,21.45000,0.21430,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2078,CHITWAN,0.80000,3.79000,2.20000,1.12000,4.51000,3.98000,19.20000,0.35710,0.00000,1.15000,1.22000,1.15000,0.00000,0.00000
2078,MANANG,1.58000,1.63000,1.76000,0.00000,1.51000,0.00000,11.14000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000
2078,MUSTANG,1.91000,1.76000,1.95000,0.00000,1.66000,0.00000,15.67000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2078,GORKHA,1.41000,2.77000,1.33000,0.00000,2.33000,3.46000,9.43000,0.10240,0.00000,0.93000,1.02000,0.87000,0.00000,0.00000
2078,LAMJUNG,1.46000,2.10000,0.88000,1.09000,2.45000,3.37000,11.07000,0.08570,0.01780,0.83000,1.00000,1.00000,0.00000,0.00000
2078,TANAHU,1.03000,3.32000,0.94000,1.00000,2.36000,3.94000,15.17000,0.13890,0.00000,1.05000,1.00000,0.92000,0.00000,0.00000
2078,KASKI,1.61000,2.71000,1.11000,1.35000,2.52000,3.83000,25.88000,0.11800,0.09590,2.00000,2.00000,1.00000,0.00000,0.00000
2078,PARBAT,1.30000,2.50000,0.95000,1.00000,2.56000,3.27000,16.05000,0.11380,0.00000,1.10000,1.00000,0.90000,0.00000,0.00000
2078,SYANGJA,1.65000,3.74000,0.94000,1.26000,2.84000,4.08000,14.42000,0.05310,0.00000,0.90000,1.10000,0.86000,0.00000,0.00000
2078,MYAGDI,1.33000,3.50000,0.93000,1.31000,3.36000,3.28000,15.85000,0.08700,0.00000,1.05000,0.00000,1.38000,0.00000,0.00000
2078,BAGLUNG,1.76000,3.31000,1.33000,1.26000,2.51000,3.20000,14.98000,0.02630,0.00670,1.04000,1.25000,0.80000,0.00000,0.00000
2078,NAWALPARASI EAST,1.25000,2.77000,0.93000,1.13000,2.51000,4.08000,17.04000,0.00000,0.00000,1.39000,1.20000,0.52000,0.00000,0.00000
2078,PALPA,1.67000,2.62000,1.17000,1.18000,2.53000,3.55000,15.69000,0.15950,0.00000,1.08000,1.10000,0.82000,0.00000,0.00000
2078,GULMI,1.75000,2.75000,1.74000,1.13000,2.92000,3.10000,17.71000,0.11690,0.00000,0.97000,1.21000,1.75000,0.00000,0.00000
2078,ARGHAKHANCHI,1.92000,3.22000,1.20000,1.13000,2.77000,3.32000,12.40000,0.00000,0.00000,0.87000,0.90000,0.00000,0.00000,0.00000
2078,NAWALPARASI WEST,1.23000,2.38000,1.20000,1.04000,2.87000,4.47000,12.87000,0.00000,0.00000,1.22000,1.19000,0.51000,0.00000,0.00000
2078,RUPANDEHI,1.96000,3.40000,1.20000,1.14000,3.95000,4.24000,16.25000,0.00000,0.00000,1.43000,1.17000,1.01000,0.00000,0.00000
2078,KAPILBASTU,1.87000,3.86000,1.04000,0.00000,3.71000,3.65000,13.05000,0.00000,0.00000,1.05000,0.91000,1.28000,0.00000,0.00000
2078,DANG,1.23000,3.21000,1.04000,1.06000,3.20000,4.05000,14.30000,0.00000,0.00000,1.11000,1.23000,1.01000,0.00000,1.01000
2078,BANKE,1.37000,2.88000,1.38000,0.00000,3.34000,3.51000,16.88000,0.00000,0.00000,1.37000,1.00000,1.07000,0.00000,1.00000
2078,BARDIYA,1.50000,3.03000,1.50000,0.00000,3.79000,4.67000,15.87000,0.00000,0.00000,1.09000,0.85000,0.70000,0.00000,0.00000
2078,RUKUM EAST,1.28000,2.36000,1.16000,1.28000,2.81000,3.01000,19.53000,0.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2078,PYUTHAN,1.63000,2.55000,1.63000,1.23000,3.14000,3.08000,15.28000,0.11670,0.00000,1.08000,1.32000,0.00000,0.00000,0.00000
2078,ROLPA,1.19000,2.69000,1.14000,1.15000,2.95000,2.89000,16.30000,0.10000,0.00000,0.95000,1.12000,0.00000,0.00000,0.00000
