Item,Element,year Code,year,Unit,value
potato,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,7.63
lentil,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,10.16
potato,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,11.56
lentil,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,12.14
lentil,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,12.2
potato,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,12.77
lentil,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,13.74
millet,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,13.84
paddy,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,14.26
lentil,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,14.81
maize,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,15.59
millet,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,15.62
maize,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,15.85
lentil,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,16.5
wheat,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,16.72
barley,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,16.74
wheat,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,17.76
barley,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,17.78
lentil,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,18
millet,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,18.1
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1992,1992,,18.63
jute,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,18.63
potato,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,18.79
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1993,1993,,18.87
jute,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,18.87
potato,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,19.85
paddy,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,20.3
maize,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,20.59
maize,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,20.63
paddy,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,20.67
millet,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,20.72
wheat,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,20.84
barley,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,20.86
wheat,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,21.04
barley,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,21.06
wheat,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,21.4
barley,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,21.42
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1994,1994,,21.86
jute,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,21.86
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1991,1991,,22.28
jute,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,22.28
paddy,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,22.88
millet,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,22.96
paddy,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,23.16
potato,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,23.59
lentil,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,24.01
lentil,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,24.01
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1995,1995,,24.86
jute,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,24.86
maize,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,24.87
lentil,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,25.21
wheat,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,25.26
barley,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,25.28
maize,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,25.41
paddy,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,25.63
maize,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,25.67
potato,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,26.3
lentil,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,26.41
millet,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,27.08
paddy,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,27.56
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1996,1996,,27.86
jute,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,27.86
paddy,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,28.06
maize,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,28.34
wheat,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,28.61
barley,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,28.64
wheat,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,28.76
barley,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,28.78
paddy,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,29.65
potato,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,30.26
millet,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,30.37
potato,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,30.64
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1997,1997,,30.86
jute,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,30.86
wheat,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,30.98
paddy,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,31.01
barley,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,31.65
potato,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,31.79
millet,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,32.14
millet,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,32.18
maize,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,32.34
millet,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,32.34
millet,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,32.71
maize,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,32.95
maize,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,33
tea,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,33.26
millet,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,33.32
millet,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,33.43
potato,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,33.66
tea,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,33.68
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1998,1998,,33.86
jute,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,33.86
paddy,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,34.1
potato,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,34.23
millet,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,34.45
potato,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,34.52
potato,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,34.59
wheat,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,34.64
barley,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,34.67
paddy,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,34.78
millet,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,35.06
maize,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,35.1
millet,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,35.11
paddy,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,35.17
tea,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,35.25
tea,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,35.55
wheat,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,35.64
barley,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,35.67
wheat,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,35.73
barley,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,35.76
maize,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,35.77
wheat,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,35.97
barley,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,36
maize,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,36.07
tea,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,36.25
lentil,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,36.37
maize,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,36.66
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),1999,1999,,36.86
tea,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,36.86
jute,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,36.86
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,36.87
tea,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,36.95
tea,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,37.13
millet,Producer Ppaddy Index (2014-2016 = 100),2007,2007,,37.29
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,37.33
tea,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,37.73
tea,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,38.15
paddy,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,38.62
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,39.07
wheat,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,39.14
barley,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,39.17
potato,Producer Ppaddy Index (2014-2016 = 100),2008,2008,,39.26
maize,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,39.29
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,39.4
tea,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,39.77
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),2000,2000,,39.86
jute,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,39.86
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,40.18
paddy,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,40.18
potato,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,40.21
tea,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,40.6
paddy,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,40.75
chickpeas,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,40.85
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,40.96
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,41.15
chickpeas,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,41.38
paddy,Producer Ppaddy Index (2014-2016 = 100),2007,2007,,41.56
chickpeas,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,41.76
maize,Producer Ppaddy Index (2014-2016 = 100),2007,2007,,41.79
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,41.82
millet,Producer Ppaddy Index (2014-2016 = 100),2008,2008,,42.09
chickpeas,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,42.28
wheat,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,42.92
barley,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,42.95
wheat,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,43.51
barley,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,43.54
chickpeas,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,43.91
chickpeas,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,44.08
tea,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,44.37
lentil,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,44.41
chickpeas,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,45.65
millet,Producer Ppaddy Index (2014-2016 = 100),2009,2009,,46.57
cotton,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,46.75
paddy,Producer Ppaddy Index (2014-2016 = 100),2008,2008,,46.79
tea,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,47.03
maize,Producer Ppaddy Index (2014-2016 = 100),2008,2008,,47.13
cotton,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,47.34
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,47.73
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,48.32
chickpeas,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,48.96
cotton,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,49.55
wheat,Producer Ppaddy Index (2014-2016 = 100),2007,2007,,49.6
tea,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,49.62
barley,Producer Ppaddy Index (2014-2016 = 100),2007,2007,,49.64
cotton,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,49.96
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,50.58
cotton,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,50.95
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,51.01
lentil,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,51.66
potato,Producer Ppaddy (USD/tonne),1992,1992,USD,51.7
cotton,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,51.8
cotton,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,51.94
coffee,Producer Ppaddy Index (2014-2016 = 100),1992,1992,,51.97
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,52.02
cotton,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,52.18
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),2001,2001,,52.21
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),2002,2002,,52.21
jute,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,52.21
jute,Producer Ppaddy Index (2014-2016 = 100),2002,2002,,52.21
potato,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,52.54
coffee,Producer Ppaddy Index (2014-2016 = 100),1993,1993,,52.62
cotton seed,Producer Ppaddy Index (2014-2016 = 100),2001,2001,,52.88
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),2006,2006,,52.91
jute,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,52.91
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1995,1995,,53.02
cotton,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,53.03
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1999,1999,,53.27
cotton,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,53.62
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),2003,2003,,53.62
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),2004,2004,,53.62
"jute, raw or retted",Producer Ppaddy Index (2014-2016 = 100),2005,2005,,53.62
jute,Producer Ppaddy Index (2014-2016 = 100),2003,2003,,53.62
jute,Producer Ppaddy Index (2014-2016 = 100),2004,2004,,53.62
jute,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,53.62
tea,Producer Ppaddy Index (2014-2016 = 100),2006,2006,,53.7
lentil,Producer Ppaddy Index (2014-2016 = 100),2005,2005,,53.71
cotton seed,Producer Ppaddy Index (2014-2016 = 100),1997,1997,,54.14
cotton seed,Producer Ppaddy Index (2014-2016 = 100),2000,2000,,54.74
coffee,Producer Ppaddy Index (2014-2016 = 100),1994,1994,,55.08
coffee,Producer Ppaddy Index (2014-2016 = 100),1998,1998,,55.55
cotton,Producer Ppaddy Index (2014-2016 = 100),1991,1991,,55.9
wheat,Producer Ppaddy Index (2014-2016 = 100),2008,2008,,55.99
barley,Producer Ppaddy Index (2014-2016 = 100),2008,2008,,56.04
coffee,Producer Ppaddy Index (2014-2016 = 100),1996,1996,,56.65
