date,admin2,market,latitude,longitude,commodity,unit,currency,price
2001-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2001-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2001-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,25
2001-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,25
2001-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2001-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2001-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2001-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2001-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2003-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2003-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2003-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2003-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,20
2004-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2004-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,20
2004-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2004-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,20
2004-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,24
2004-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,20
2004-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,24
2004-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,20
2004-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,26
2004-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,26
2004-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,19
2004-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,19
2004-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,19
2005-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,19
2005-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,19
2005-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2005-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2005-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2005-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2005-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2005-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2005-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2005-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2005-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2005-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2005-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2005-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2006-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2006-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2006-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,22
2006-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,21
2006-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2006-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,21
2006-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,21
2006-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2006-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2006-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2007-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2007-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2007-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,20
2007-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2007-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,21
2007-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,25
2008-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,38
2008-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2008-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,39
2008-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,29
2008-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2008-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2008-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2008-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2008-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,32
2008-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,45
2008-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,32
2008-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,42
2008-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,25
2008-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2008-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,25
2008-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2009-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,25
2009-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2009-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,26.5
2009-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30.5
2009-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,28
2009-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,31
2009-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,29
2009-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,32
2009-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2009-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,33.5
2009-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,28
2009-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2009-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,28
2009-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2009-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2009-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,50
2009-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2009-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,52
2009-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2009-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,52
2009-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2009-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2009-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2009-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2010-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2010-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2010-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2010-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,32
2010-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2010-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,32
2010-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,27
2010-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,32
2010-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2010-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,32
2010-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2010-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,32
2010-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2010-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,32
2010-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2010-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,34
2010-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2010-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,34
2010-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2010-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,34
2010-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,36
2010-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2010-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,36
2010-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,30
2011-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,30
2011-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,32
2011-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,32
2011-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2011-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2011-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2011-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2011-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2011-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-09-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2011-09-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,38
2011-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,38
2011-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2011-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2011-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2012-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-01-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2012-02-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-02-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2012-03-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-03-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2012-04-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-04-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2012-05-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-05-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2012-06-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-06-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2012-07-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-07-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2012-08-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,36
2012-08-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,40
2012-10-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-10-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2012-11-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-11-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,35
2012-12-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
2012-12-15,ACHHAM,Achham,29.05,81.3,Wheat flour,KG,NPR,38
2013-01-15,ACHHAM,Achham,29.05,81.3,Rice (coarse),KG,NPR,35
