Year,District,Coffee_yield
2078,BHOJPUR,58.8
2078,DHANKUTA,42.9
2078,ILAM,81.8
2078,KHOTANG,60.6
2078,MORANG,200.0
2078,OKHALDHUNGA,75.0
2078,PANCHTHAR,87.5
2078,SANKHUWASHAVA,155.6
2078,SOLUKHUMBU,360.0
2078,TAPLEJUNG,162.2
2078,TERATHUM,51.7
2078,UDAYPUR,153.8
2078,CHITWAN,357.1
2078,DHADING,74.5
2078,DOLAKHA,100.0
2078,KAVRE,117.2
2078,LALITPUR,151.4
2078,MAKAWANPUR,214.3
2078,NUWAKOT,118.3
2078,RAMECHHAP,57.1
2078,RASUWA,119.6
2078,SINDHULI,150.0
2078,SINDHUPALCHOWK,251.3
2078,BAGLUNG,26.3
2078,GORKHA,102.4
2078,KASKI,118.0
2078,LAMJUNG,85.7
2078,MYAGDI,87.0
2078,NAWALPUR,72.7
2078,PARBAT,113.8
2078,SYANGJA,53.1
2078,TANAHU,138.9
2078,ARGHAKHACHI,93.3
2078,GULMI,116.9
2078,PALPA,159.5
2078,PYUTHAN,116.7
2078,ROLPA,100.0
2078,RUKUM EAST,400.0
2078,DAILEKH,200.0
2078,JAJARKOT,266.7
2078,SALYAN,100.0
2078,SURKHET,42.9
2078,DOTI,0.0
2078,KAILALI,50.0
