Year,District,Potato_yield
2079,TAPLEJUNG,18.22
2079,SANKHUWASABHA,14.52
2079,SOLUKHUMBU,17.68
2079,PANCHTHAR,18.16
2079,ILLAM,18.12
2079,TERHATHUM,17.07
2079,DHANKUTA,19.65
2079,BHOJPUR,18.20
2079,KHOTANG,15.60
2079,OKHALDHUNGA,14.80
2079,UDAYAPUR,15.41
2079,JHAPA,15.85
2079,MORANG,20.10
2079,SUNSARI,17.43
2079,SAPTARI,16.10
2079,SIRAHA,15.82
2079,DHANUSHA,16.01
2079,MAHOTTARI,16.00
2079,SARLAHI,15.65
2079,RAUTAHAT,17.50
2079,BARA,16.00
2079,PARSA,16.26
2079,DOLAKHA,18.17
2079,SINDHUPALCHOK,17.00
2079,RASUWA,17.49
2079,RAMECHAP,14.78
2079,SINDHULI,17.92
2079,KAVRE,21.86
2079,BHAKTAPUR,24.50
2079,LALITPUR,20.80
2079,KATHMANDU,25.00
2079,NUWAKOT,18.25
2079,DHADING,19.50
2079,MAKAWANPUR,21.32
2079,CHITWAN,17.00
2079,MANANG,20.10
2079,MUSTANG,18.10
2079,GORKHA,20.10
2079,LAMJUNG,19.49
2079,TANAHU,16.10
2079,KASKI,14.10
2079,PARBAT,14.02
2079,SYANGJA,16.50
2079,MYAGDI,15.40
2079,BAGLUNG,16.25
2079,NAWALPARASI EAST,16.10
2079,PALPA,15.10
2079,GULMI,16.99
2079,ARGHAKHANCHI,16.00
2079,NAWALPARASI WEST,12.95
2079,RUPANDEHI,14.65
2079,KAPILBASTU,15.01
2079,DANG,16.00
2079,BANKE,16.90
2079,BARDIYA,16.40
2079,RUKUM EAST,16.50
2079,PYUTHAN,15.65
2079,ROLPA,16.48
2079,DOLPA,19.10
2079,MUGU,18.00
2079,HUMLA,18.31
2079,JUMLA,18.79
2079,KALIKOT,17.23
2079,RUKUM WEST,15.47
2079,SALYAN,18.23
2079,JAJARKOT,15.30
2079,DAILEKH,17.57
2079,SURKHET,14.00
2079,BAJURA,15.10
2079,BAJHANG,14.80
2079,DARCHULA,10.95
2079,ACHHAM,14.50
2079,DOTI,14.30
2079,BAITADI,16.45
2079,DADELDHURA,17.56
2079,KAILALI,17.50
2079,KANCHANPUR,16.45
